Pais,A̱o,sum,count,mean,min,max
argentina,2010,385.8,87,4.43448,4.0,4.9
argentina,2011,380.1,85,4.47176,4.0,4.9
argentina,2012,309.2,71,4.35493,4.0,4.9
argentina,2013,135.3,31,4.36452,4.0,4.9
argentina,2014,229.6,54,4.25185,4.0,4.9
argentina,2015,693.5,159,4.36164,4.0,4.9
argentina,2016,768.8,177,4.3435,4.0,4.9
argentina,2017,403.5,89,4.53371,4.0,4.9
argentina,2018,526.8,118,4.46441,4.0,4.9
argentina,2019,711.5,163,4.36503,4.0,4.9
argentina,2020,321.4,74,4.34324,4.0,4.9
argentina,2021,21.0,5,4.2,4.0,4.4
bolivia,2010,586.8,133,4.41203,4.0,4.9
bolivia,2011,514.5,116,4.43534,4.0,4.9
bolivia,2012,409.2,94,4.35319,4.0,4.9
bolivia,2013,412.2,95,4.33895,4.0,4.9
bolivia,2014,792.1,177,4.47514,4.2,4.9
bolivia,2015,1044.5,242,4.31612,4.0,4.9
bolivia,2016,1189.1,275,4.324,4.0,4.9
bolivia,2017,769.4,178,4.32247,4.0,4.9
bolivia,2018,823.9,190,4.33632,4.0,4.9
bolivia,2019,918.8,210,4.37524,4.0,4.9
bolivia,2020,545.7,123,4.43659,4.2,4.9
bolivia,2021,18.0,4,4.5,4.1,4.9
brazil,2010,440.8,91,4.84396,4.8,4.9
brazil,2011,647.7,137,4.72774,4.6,4.9
brazil,2012,500.0,106,4.71698,4.6,4.9
brazil,2013,146.6,31,4.72903,4.6,4.9
brazil,2016,503.1,104,4.8375,4.8,4.9
brazil,2017,727.8,154,4.72597,4.6,4.9
brazil,2018,706.6,150,4.71067,4.6,4.9
brazil,2019,455.3,94,4.84362,4.8,4.9
brazil,2020,378.3,78,4.85,4.8,4.9
brazil,2021,129.0,30,4.3,4.0,4.9
chile,2011,387.0,80,4.8375,4.8,4.9
chile,2012,635.8,135,4.70963,4.6,4.9
chile,2013,137.0,29,4.72414,4.6,4.9
chile,2016,450.0,93,4.83871,4.8,4.9
chile,2017,757.6,160,4.735,4.6,4.9
chile,2018,718.4,152,4.72632,4.6,4.9
chile,2019,868.8,184,4.72174,4.6,4.9
chile,2020,840.9,178,4.72416,4.6,4.9
chile,2021,55.3,13,4.25385,4.0,4.8
colombia,2010,393.9,88,4.47614,4.0,4.9
colombia,2011,438.3,98,4.47245,4.0,4.9
colombia,2012,336.0,77,4.36364,4.0,4.9
colombia,2013,35.2,8,4.4,4.0,4.8
colombia,2014,295.3,65,4.54308,4.1,4.9
colombia,2015,372.0,84,4.42857,4.0,4.9
colombia,2016,489.0,106,4.61321,4.4,4.9
colombia,2017,967.0,223,4.33632,4.0,4.9
colombia,2018,661.0,150,4.40667,4.0,4.9
colombia,2019,700.4,161,4.35031,4.0,4.9
colombia,2020,305.8,71,4.30704,4.0,4.8
colombia,2021,16.7,4,4.175,4.1,4.4
costarica,2010,224.1,50,4.482,4.0,4.9
costarica,2011,209.5,47,4.45745,4.0,4.9
costarica,2012,216.6,50,4.332,4.0,4.9
costarica,2013,21.3,5,4.26,4.1,4.5
costarica,2014,196.2,44,4.45909,4.0,4.9
costarica,2015,164.5,37,4.44595,4.0,4.9
costarica,2016,205.1,46,4.4587,4.0,4.9
costarica,2017,108.2,25,4.328,4.0,4.9
costarica,2018,504.1,115,4.38348,4.0,4.9
costarica,2019,214.4,50,4.288,4.0,4.9
costarica,2020,96.3,22,4.37727,4.0,4.9
dominican-republic,2010,429.8,98,4.38571,4.0,4.9
dominican-republic,2011,55.3,13,4.25385,4.0,4.7
dominican-republic,2012,51.7,12,4.30833,4.0,4.7
dominican-republic,2014,4.0,1,4.0,4.0,4.0
dominican-republic,2015,55.5,13,4.26923,4.0,4.9
dominican-republic,2016,60.1,14,4.29286,4.0,4.7
dominican-republic,2017,9.1,2,4.55,4.3,4.8
dominican-republic,2018,35.3,8,4.4125,4.0,4.7
dominican-republic,2019,37.9,9,4.21111,4.0,4.8
dominican-republic,2020,55.9,13,4.3,4.0,4.6
ecuador,2010,156.9,35,4.48286,4.0,4.9
ecuador,2011,161.1,36,4.475,4.0,4.9
ecuador,2012,160.9,37,4.34865,4.0,4.8
ecuador,2013,8.8,2,4.4,4.0,4.8
ecuador,2014,124.4,27,4.60741,4.1,4.9
ecuador,2015,143.0,33,4.33333,4.0,4.9
ecuador,2016,240.20000000000002,52,4.61923,4.4,4.9
ecuador,2017,636.1,146,4.35685,4.0,4.9
ecuador,2018,503.8,115,4.38087,4.0,4.9
ecuador,2019,321.9,74,4.35,4.0,4.9
ecuador,2020,93.39999999999999,22,4.24545,4.0,4.8
guatemala,2010,381.1,88,4.33068,4.0,4.9
guatemala,2011,538.7,125,4.3096,4.0,4.9
guatemala,2012,385.2,86,4.47907,4.2,4.9
guatemala,2013,398.0,95,4.18947,4.0,4.9
guatemala,2014,804.4,188,4.27872,4.0,4.9
guatemala,2015,447.8,102,4.3902,4.2,4.9
guatemala,2016,688.6999999999999,162,4.25123,4.0,4.9
guatemala,2017,417.9,96,4.35312,4.0,4.9
guatemala,2018,609.7,142,4.29366,4.0,4.9
guatemala,2019,884.8,206,4.29515,4.1,4.9
guatemala,2020,226.7,54,4.19815,4.0,4.9
mexico,2010,1088.0,247,4.40486,4.2,4.9
mexico,2011,839.3,192,4.37135,4.2,4.9
mexico,2012,595.7,130,4.58231,4.4,4.9
mexico,2013,77.7,17,4.57059,4.4,4.8
mexico,2014,491.3,107,4.59159,4.4,4.9
mexico,2015,708.4,156,4.54103,4.4,4.9
mexico,2016,498.3,109,4.57156,4.4,4.9
mexico,2017,807.1999999999999,171,4.72047,4.6,4.9
mexico,2018,949.8000000000001,210,4.52286,4.4,4.9
mexico,2019,752.8000000000001,166,4.53494,4.4,4.9
mexico,2020,382.8,84,4.55714,4.4,4.9
mexico,2021,4.3,1,4.3,4.3,4.3
panama,2010,76.6,17,4.50588,4.1,4.8
panama,2011,103.5,23,4.5,4.0,4.9
panama,2012,60.4,14,4.31429,4.0,4.9
panama,2013,12.7,3,4.23333,4.1,4.5
panama,2014,82.3,18,4.57222,4.2,4.9
panama,2015,99.3,22,4.51364,4.0,4.9
panama,2016,164.2,37,4.43784,4.0,4.9
panama,2017,66.0,15,4.4,4.0,4.8
panama,2018,219.6,50,4.392,4.0,4.9
panama,2019,64.5,15,4.3,4.0,4.9
panama,2020,47.3,11,4.3,4.0,4.8
paraguay,2011,13.6,3,4.53333,4.3,4.7
paraguay,2012,17.200000000000003,4,4.3,4.0,4.4
paraguay,2014,22.5,5,4.5,4.3,4.7
paraguay,2015,18.299999999999997,4,4.575,4.1,4.8
paraguay,2016,27.1,6,4.51667,4.2,4.7
paraguay,2017,4.5,1,4.5,4.5,4.5
paraguay,2018,4.7,1,4.7,4.7,4.7
paraguay,2019,9.6,2,4.8,4.8,4.8
paraguay,2020,18.299999999999997,4,4.575,4.3,4.8
peru,2010,642.0,145,4.42759,4.0,4.9
peru,2011,711.5,160,4.44688,4.0,4.9
peru,2012,331.0,74,4.47297,4.2,4.9
peru,2013,194.0,43,4.51163,4.2,4.9
peru,2014,475.59999999999997,107,4.44486,4.0,4.9
peru,2015,554.7,123,4.50976,4.2,4.9
peru,2016,443.4,94,4.71702,4.6,4.9
peru,2017,683.6,152,4.49737,4.2,4.9
peru,2018,582.2,131,4.44427,4.2,4.9
peru,2019,750.2,163,4.60245,4.4,4.9
peru,2020,399.7,87,4.59425,4.4,4.9
puertorico,2010,77.9,18,4.32778,4.0,4.8
puertorico,2011,77.6,18,4.31111,4.0,4.9
puertorico,2012,38.4,9,4.26667,4.0,4.7
puertorico,2014,8.1,2,4.05,4.0,4.1
puertorico,2015,38.8,9,4.31111,4.0,4.8
puertorico,2016,17.0,4,4.25,4.0,4.6
puertorico,2017,8.5,2,4.25,4.2,4.3
puertorico,2018,27.5,6,4.58333,4.2,4.9
puertorico,2019,13.600000000000001,3,4.53333,4.2,4.7
puertorico,2020,180.3,42,4.29286,4.0,4.9
venezuela,2010,184.6,42,4.39524,4.0,4.8
venezuela,2011,192.2,44,4.36818,4.0,4.9
venezuela,2012,143.6,33,4.35152,4.0,4.9
venezuela,2013,4.8,1,4.8,4.8,4.8
venezuela,2014,63.8,14,4.55714,4.1,4.9
venezuela,2015,221.4,49,4.51837,4.0,4.9
venezuela,2016,354.9,82,4.32805,4.0,4.9
venezuela,2017,324.0,74,4.37838,4.0,4.9
venezuela,2018,361.8,84,4.30714,4.0,4.9
venezuela,2019,400.2,93,4.30323,4.0,4.9
venezuela,2020,275.8,62,4.44839,4.0,4.9
venezuela,2021,47.8,11,4.34545,4.0,4.8
